"ConQstnNum","Con Brier Score"
"102",0.0129728623483432
"1025",0.10458473517954
"1038",0.27155661112782
"145",0.00429319674538604
"172",0.0668334606562258
"183",0.00392918771611347
"189",0.00457874703676139
"190",0.0488625077774527
"192",0.344505376737318
"194",0.0446380820969115
"199",0.0204212503283481
"205",0.351606212910231
"213",0.0429521403746807
"217",0.0250716128280347
"220",0.0179706283538538
"343",0.29150361069859
"349",0.669807083594456
"352",0.0614675574210853
"359",0.00807997095834524
"360",0.119276401509454
"372",0.000190179916798082
"404",0.165884104811734
"405",0.0922354130829086
"410",0.0009588095277
"417",0.0998038186367363
"422",0.4559844989307
"43",0.000165939082506175
"445",0.103849149489482
"459",0.00613869326280473
"46",0.000535900502560077
"465",0.00509165272151996
"466",0.0461645055096518
"469",0.336744972071775
"47",0.00642792760980384
"511",0.0473051210477695
"554",0.000768791416565407
"580",0.0199748664969525
"584",0.560166536988632
"624",0.0466657638004379
"628",0.521862019677319
"632",0.383270061958388
"649",0.0255089000240066
"659",0.00332805483222709
"664",0.198161333274402
"705",0.0172855434956159
"718",0.0108980968785726
"733",0.176074902360575
"761",0.221050064627002
"789",0.536406069769569
"803",0.0227426007284699
"835",0.00206466051466846
"84",0.00814399709094068
"845",0.486973474949539
"867",0.0339174225569727
"877",0.281496780199889
"878",0.100265434989032
"894",0.122360695289856
"898",0.021176383972398
"899",0.0459676282339057
"906",0.588196730228894
"907",0.905176973853182
"917",0.982388667044305
"924",0.184704782827198
"934",0.0344672738469725
"937",0.225892043370606
"939",0.0127984832014285
"947",0.0828629333700137
"952",0.13838099991487
"967",0.105017129240298
"972",0.129432049665648
"982",0.132120218763746
